"year","char","t","f","m"
1999,"w",0.002,0.001,0.003
1999,"x",0.001,0.002,0
1999,"y",0.011,0.009,0.013
1999,"z",0.006,0.008,0.003
2000,"a",0.117,0.124,0.111
2000,"b",0.028,0.023,0.033
2000,"c",0.039,0.053,0.027
2000,"d",0.054,0.037,0.069
2000,"e",0.048,0.058,0.039
2000,"f",0.034,0.032,0.035
2000,"g",0.021,0.014,0.026
2000,"h",0.016,0.015,0.016
2000,"i",0.017,0.017,0.016
2000,"j",0.078,0.065,0.089
2000,"k",0.027,0.026,0.028
2000,"l",0.098,0.108,0.089
2000,"m",0.112,0.115,0.11
2000,"n",0.063,0.062,0.065
2000,"o",0.009,0.008,0.01
2000,"p",0.023,0.014,0.031
2000,"q",0.001,0.001,0.001
2000,"r",0.034,0.026,0.041
2000,"s",0.089,0.114,0.068
2000,"t",0.035,0.026,0.043
2000,"u",0.003,0.002,0.003
2000,"v",0.028,0.035,0.022
2000,"w",0.001,0.001,0.001
2000,"x",0.001,0.002,0.001
2000,"y",0.014,0.007,0.021
2000,"z",0.009,0.015,0.003
2001,"a",0.134,0.15,0.117
2001,"b",0.019,0.016,0.022
2001,"c",0.044,0.058,0.029
2001,"d",0.052,0.035,0.069
2001,"e",0.053,0.054,0.053
2001,"f",0.031,0.02,0.042
2001,"g",0.025,0.02,0.03
2001,"h",0.018,0.02,0.016
2001,"i",0.022,0.023,0.022
2001,"j",0.072,0.07,0.074
2001,"k",0.026,0.027,0.025
2001,"l",0.097,0.109,0.084
2001,"m",0.105,0.102,0.107
2001,"n",0.056,0.053,0.059
2001,"o",0.01,0.005,0.014
2001,"p",0.02,0.009,0.03
2001,"q",0.001,0,0.001
2001,"r",0.035,0.022,0.047
2001,"s",0.092,0.115,0.07
2001,"t",0.034,0.028,0.041
2001,"u",0.002,0.001,0.003
2001,"v",0.026,0.036,0.017
2001,"w",0.003,0.001,0.005
2001,"x",0.002,0.003,0.002
2001,"y",0.015,0.011,0.019
2001,"z",0.008,0.013,0.003
2002,"a",0.123,0.138,0.109
2002,"b",0.023,0.016,0.03
2002,"c",0.043,0.056,0.031
2002,"d",0.049,0.036,0.062
2002,"e",0.056,0.063,0.049
2002,"f",0.032,0.026,0.039
2002,"g",0.027,0.024,0.03
2002,"h",0.013,0.012,0.014
2002,"i",0.018,0.022,0.013
2002,"j",0.073,0.067,0.079
2002,"k",0.021,0.014,0.029
2002,"l",0.109,0.11,0.108
2002,"m",0.098,0.101,0.095
2002,"n",0.062,0.064,0.06
2002,"o",0.011,0.007,0.015
2002,"p",0.022,0.017,0.026
2002,"q",0.001,0.001,0.001
2002,"r",0.04,0.031,0.049
2002,"s",0.089,0.107,0.072
2002,"t",0.031,0.023,0.039
2002,"u",0.003,0.002,0.004
2002,"v",0.026,0.032,0.02
2002,"w",0.002,0.002,0.002
2002,"x",0.003,0.005,0.001
2002,"y",0.014,0.01,0.017
2002,"z",0.008,0.012,0.005
2003,"a",0.125,0.137,0.114
2003,"b",0.025,0.019,0.031
2003,"c",0.034,0.045,0.024
2003,"d",0.046,0.029,0.062
2003,"e",0.052,0.061,0.045
2003,"f",0.033,0.02,0.046
2003,"g",0.025,0.021,0.029
2003,"h",0.013,0.017,0.01
2003,"i",0.018,0.021,0.016
2003,"j",0.079,0.067,0.09
2003,"k",0.03,0.031,0.029
2003,"l",0.111,0.123,0.1
2003,"m",0.104,0.1,0.108
2003,"n",0.058,0.058,0.059
2003,"o",0.008,0.006,0.009
2003,"p",0.02,0.013,0.027
2003,"q",0.001,0.001,0.002
2003,"r",0.037,0.033,0.041
2003,"s",0.091,0.118,0.066
2003,"t",0.033,0.02,0.044
2003,"u",0.002,0.002,0.002
2003,"v",0.027,0.03,0.024
2003,"w",0.002,0.001,0.003
2003,"x",0.001,0,0.002
2003,"y",0.015,0.013,0.016
2003,"z",0.008,0.014,0.002
2004,"a",0.127,0.158,0.098
2004,"b",0.021,0.013,0.03
2004,"c",0.041,0.058,0.025
2004,"d",0.046,0.031,0.061
2004,"e",0.051,0.059,0.043
2004,"f",0.028,0.023,0.034
2004,"g",0.027,0.021,0.032
2004,"h",0.014,0.015,0.013
2004,"i",0.02,0.022,0.018
2004,"j",0.072,0.056,0.086
2004,"k",0.029,0.027,0.031
2004,"l",0.117,0.119,0.115
2004,"m",0.111,0.104,0.116
2004,"n",0.061,0.06,0.062
2004,"o",0.009,0.006,0.012
2004,"p",0.015,0.011,0.018
2004,"q",0.001,0,0.002
2004,"r",0.041,0.029,0.053
2004,"s",0.085,0.103,0.067
2004,"t",0.034,0.025,0.043
2004,"u",0.002,0.003,0.001
2004,"v",0.021,0.028,0.013
2004,"w",0.004,0.002,0.006
2004,"x",0.001,0.002,0.001
2004,"y",0.013,0.01,0.015
2004,"z",0.008,0.012,0.004
2005,"a",0.134,0.151,0.117
2005,"b",0.021,0.01,0.032
2005,"c",0.035,0.047,0.024
2005,"d",0.04,0.022,0.057
2005,"e",0.062,0.075,0.05
2005,"f",0.033,0.023,0.041
2005,"g",0.027,0.021,0.033
2005,"h",0.016,0.017,0.015
2005,"i",0.015,0.016,0.014
2005,"j",0.067,0.056,0.077
2005,"k",0.025,0.023,0.026
2005,"l",0.122,0.13,0.114
2005,"m",0.101,0.103,0.099
2005,"n",0.062,0.058,0.065
2005,"o",0.01,0.007,0.012
2005,"p",0.023,0.02,0.025
2005,"q",0.001,0,0.001
2005,"r",0.037,0.034,0.04
2005,"s",0.085,0.107,0.063
2005,"t",0.035,0.023,0.046
2005,"u",0.002,0.002,0.001
2005,"v",0.023,0.028,0.018
2005,"w",0.003,0.002,0.004
2005,"x",0.001,0.002,0
2005,"y",0.014,0.01,0.018
2005,"z",0.008,0.012,0.004
2006,"a",0.133,0.156,0.111
2006,"b",0.022,0.017,0.027
2006,"c",0.036,0.046,0.027
2006,"d",0.043,0.026,0.059
2006,"e",0.061,0.066,0.057
2006,"f",0.034,0.031,0.037
2006,"g",0.027,0.022,0.031
2006,"h",0.021,0.019,0.022
2006,"i",0.016,0.02,0.013
2006,"j",0.074,0.058,0.091
2006,"k",0.024,0.019,0.029
2006,"l",0.123,0.137,0.11
2006,"m",0.094,0.098,0.091
2006,"n",0.058,0.055,0.062
2006,"o",0.011,0.008,0.014
2006,"p",0.018,0.015,0.021
